UserID,realtionship_status,industry,genre,targeted_sex,average_runtime(minutes_per_week),airtime,airlocation,ratings,expensive,money_back_guarantee,netgain
UI_9185,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672000000002,Medium,No,0
UI_449,Never-married,Political,Comedy,Male,35,Morning,International,0.027464672000000002,Low,No,0
UI_9014,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,No,0
UI_14987,Married-civ-spouse,Pharma,Infomercial,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_25532,Married-civ-spouse,Other,Comedy,Female,50,Primetime,United-States,0.027464672000000002,Low,Yes,1
UI_22292,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672000000002,High,No,0
UI_22389,Married-civ-spouse,Pharma,Comedy,Male,80,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_17,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,Mexico,0.027464672000000002,High,Yes,0
UI_11739,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
UI_16904,Married-civ-spouse,Other,Comedy,Female,25,Primetime,United-States,0.027464672000000002,High,No,0
UI_11164,Divorced,Entertainment,Comedy,Female,45,Primetime,United-States,0.080517005,Low,Yes,0
UI_2207,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,High,No,0
UI_11814,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
UI_14654,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672000000002,High,No,0
UI_23856,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Medium,No,0
UI_120,Never-married,Auto,Infomercial,Male,46,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_11751,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.173579841,Low,Yes,1
UI_23170,Never-married,Auto,Comedy,Male,20,Morning,United-States,0.027464672000000002,Low,Yes,0
UI_8713,Married-civ-spouse,Pharma,Drama,Male,40,Primetime,Hong,0.027464672000000002,High,No,0
UI_21834,Separated,Auto,Comedy,Male,60,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_5500,Married-civ-spouse,Pharma,Comedy,Male,25,Primetime,United-States,0.027464672000000002,High,No,0
UI_18085,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_15901,Never-married,Auto,Comedy,Male,25,Primetime,United-States,0.027464672000000002,High,Yes,0
UI_21256,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_2963,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,1
UI_19884,Never-married,ClassAction,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
UI_9938,Widowed,Auto,Comedy,Female,55,Daytime,United-States,0.29810451,High,No,1
UI_2972,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_9673,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,1.0,Low,Yes,1
UI_14578,Never-married,Auto,Comedy,Male,30,Morning,United-States,0.027464672000000002,Low,Yes,0
UI_8242,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672000000002,Low,Yes,0
UI_8817,Never-married,Auto,Comedy,Male,22,Primetime,United-States,0.027464672000000002,Low,Yes,1
UI_1302,Never-married,Political,Comedy,Male,50,Morning,United-States,0.027464672000000002,Low,Yes,0
UI_23959,Never-married,Political,Infomercial,Male,30,Morning,United-States,0.070412262,Low,Yes,0
UI_12113,Separated,Political,Comedy,Male,50,Daytime,United-States,0.027464672000000002,Low,No,0
UI_10224,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.070120498,Low,Yes,0
UI_20677,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
UI_2469,Divorced,Entertainment,Comedy,Female,35,Primetime,Cuba,0.027464672000000002,Low,Yes,0
UI_10530,Married-civ-spouse,Pharma,Comedy,Male,60,Morning,United-States,0.027464672000000002,Low,No,0
UI_23967,Married-civ-spouse,Pharma,Comedy,Male,30,Primetime,Germany,0.027464672000000002,Low,Yes,0
UI_20227,Never-married,Auto,Comedy,Female,30,Morning,United-States,0.027464672000000002,Medium,No,0
UI_22849,Never-married,Auto,Infomercial,Male,37,Primetime,United-States,0.027464672000000002,High,No,0
UI_4748,Never-married,ClassAction,Comedy,Male,40,Morning,United-States,0.052721667,Low,Yes,0
UI_16552,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,High,Yes,0
UI_22471,Married-civ-spouse,Pharma,Drama,Male,55,Daytime,India,0.027464672000000002,High,Yes,1
UI_5943,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672000000002,High,Yes,0
UI_26006,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672000000002,High,No,1
UI_22063,Married-civ-spouse,Pharma,Direct,Male,50,Primetime,United-States,0.027464672000000002,Low,No,1
UI_16975,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_8358,Never-married,Auto,Comedy,Male,30,Primetime,United-States,0.027464672000000002,Low,No,0
UI_16688,Never-married,Political,Comedy,Male,20,Morning,United-States,0.027464672000000002,Low,Yes,0
UI_23471,Divorced,Auto,Comedy,Female,38,Primetime,United-States,0.027464672000000002,Low,Yes,0
UI_14611,Never-married,Political,Comedy,Male,56,Morning,United-States,0.027464672000000002,High,No,0
UI_5769,Divorced,Auto,Comedy,Female,50,Primetime,United-States,0.027464672000000002,High,No,1
UI_9353,Married-civ-spouse,Other,Comedy,Female,38,Primetime,United-States,0.027464672000000002,Low,No,1
UI_13640,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,No,0
UI_18712,Married-civ-spouse,Pharma,Comedy,Male,99,Primetime,Iran,0.027464672000000002,High,No,0
UI_8745,Married-civ-spouse,Pharma,Comedy,Male,20,Primetime,United-States,0.027464672000000002,Medium,No,0
UI_21945,Divorced,Auto,Infomercial,Female,45,Primetime,United-States,0.027464672000000002,Low,No,0
UI_23684,Married-civ-spouse,Pharma,Comedy,Male,30,Primetime,Dominican-Republic,0.027464672000000002,High,No,0
